variant,n_seeds,bmk_dir,ho_rate_mean,ho_rate_std,hof_rate_mean,hof_rate_std,pp_rate_mean,pp_rate_std,capacity_avg_mean,capacity_avg_std,rlf_rate_mean,rlf_rate_std,reliability_pct_mean,reliability_pct_std,prep_rate_mean,prep_rate_std,res_reservation_pct_mean,res_reservation_pct_std,reward_mean,reward_std
midpoint (champion),3,bmk_2026-05-20_1_v2_qrdqn_baseline,16.097933333333334,4.195927675999935,1.8520666666666665,0.8446196750937995,2.191866666666667,0.9277286863925011,3.9559162333333333,0.29197994096832497,0.1396,0.1731430237308644,95.97166888888889,1.084669678338144,1070.1782666666666,118.17457869748844,8.493478306878307,0.9378934817260988,1073.6300654205152,87.61539871915514
gauss_legendre,1,bmk_2026-05-22_3_v2_qmode_gl,16.863799999999998,4.393864991098384,2.6274,0.9993644180177719,2.159,0.9472692331116851,3.9221416823333337,0.2944500952136551,0.15819999999999998,0.18388246245903933,95.78756333333334,1.1038696915799835,1032.36884,99.21259818115036,8.193403492063492,0.7874015728662727,1054.3347454348866,88.74124974644339
trapezoidal,1,bmk_2026-05-22_4_v2_qmode_trap,17.278599999999997,4.414224964815454,1.7182000000000002,0.7051728582411549,2.2182,0.9645044116021451,3.970880556666667,0.2971635797644559,0.1372,0.16749973134306814,96.01508,0.9816781856935943,1041.05554,99.6934104327282,8.262345555555555,0.7912175431168905,1073.1010994992232,87.78438018207352
simpson,1,bmk_2026-05-22_5_v2_qmode_simpson,17.2076,4.289095736865756,1.8454000000000002,0.7888592016323319,2.2721999999999998,0.965456969522723,3.9765844823333336,0.2918094797051139,0.12960000000000002,0.1755102276222101,96.08207999999999,0.9918049014241097,1040.80564,98.09846457203294,8.260362222222222,0.7785592426351821,1074.652670372531,87.96935984103042
cvar_full(0.1),1,bmk_2026-05-22_6_v2_qmode_cvar_full,18.799,5.425204051462027,3.4244,1.398272019315269,2.0108,0.9370396789891025,3.844628371,0.3133275344155545,0.18660000000000002,0.22040970940500784,95.20322,1.3324402127258426,1077.32106,127.27648055817853,8.550167142857143,1.010130798080782,1021.7115634314315,96.12318278309847
cvar_truncated(0.1),1,bmk_2026-05-22_7_v2_qmode_cvar_trunc,23.039,4.963962026446214,1.1838,0.5826298653519231,2.6896,1.015151141456286,3.980721608666667,0.3026372316939584,0.0856,0.1285015175007673,95.96508666666666,0.947270965129713,1169.16192,109.81049405368141,9.279062857142858,0.8715118575689,1056.9359841384637,92.26903176396262
