metric             , mean                    , std
capacity_avg       ,     4.437876134507841   ,   0.23662933218748183
rlf_rate           ,     0.008199999999999999,   0.047063520639397304
ho_rate            ,     5.4464              ,   2.364012604787799
pp_rate            ,     1.4136              ,   1.0321629718219891
reliability_pct    ,    99.66181000000002    ,   0.19601298281970583
prep_rate          ,   143.977               ,  23.327123819830547
res_reservation_pct,    13.930794126984129   ,   1.6031525664886652
hof_rate           ,     0.48719999999999997 ,   0.7930101039867178
total_steps        , 30000.0                 ,   0.0
total_minutes      ,     5.0                 ,   0.0
reward             , 13045.393012158345      , 701.8005060120647
