metric,mean,std
ho_rate,6.5,0.0
hof_rate,0.80,0.0
pp_rate,0.65,0.0
capacity_avg,3.68,0.0
rlf_rate,0.103,0.0
reliability_pct,94.0,0.0
prep_rate,20.0,0.0
res_reservation_pct,6.5,0.0
