N,n_seeds,bmk_dir,ho_rate_mean,ho_rate_std,hof_rate_mean,hof_rate_std,pp_rate_mean,pp_rate_std,capacity_avg_mean,capacity_avg_std,rlf_rate_mean,rlf_rate_std,reliability_pct_mean,reliability_pct_std,prep_rate_mean,prep_rate_std,res_reservation_pct_mean,res_reservation_pct_std,reward_mean,reward_std
10,1,bmk_2026-05-21_2_v2_ablation_N10,16.9272,4.179011864065476,1.8484,0.7633462124095461,2.2716,0.9456814685717385,3.9676929493333337,0.29131635647575016,0.1464,0.17322540229423627,95.95947,0.9935891265675835,1086.65436,115.75606804392763,8.624240952380951,0.9186989527295844,1073.824868251842,88.17335143871034
50,3,bmk_2026-05-20_1_v2_qrdqn_baseline,16.097933333333334,4.195927675999935,1.8520666666666665,0.8446196750937995,2.191866666666667,0.9277286863925011,3.9559162333333333,0.29197994096832497,0.1396,0.1731430237308644,95.97166888888889,1.084669678338144,1070.1782666666666,118.17457869748844,8.493478306878307,0.9378934817260988,1073.6300654205152,87.61539871915514
100,1,bmk_2026-05-22_1_v2_ablation_N100,17.955,4.575632743129632,1.8578,0.7199855276323267,2.3448,1.0009160604166565,3.9775021856666672,0.29431179428170035,0.14720000000000003,0.18289931656515285,95.98326999999999,0.988705734443885,1111.24392,126.21383307004665,8.81939619047619,1.0016970878575129,1071.0108184702526,87.83290219663581
200,1,bmk_2026-05-22_2_v2_ablation_N200,17.2008,4.256392763831834,2.2302,0.8243348591440253,2.186,0.9132162942041715,3.947229829,0.2929301934787964,0.1464,0.17183433882667343,95.82573333333333,1.0386099449638335,1104.1553800000002,121.37271621520053,8.763137936507935,0.9632755255174645,1063.5499390123946,88.78515721124162
