metric             , mean                  , std
capacity_avg       ,     4.434416874856886 ,   0.23511458631196688
rlf_rate           ,     0.002             ,   0.019909706085133358
ho_rate            ,     5.860399999999999 ,   2.6731662233496922
pp_rate            ,     1.5624            ,   1.2311384739102023
reliability_pct    ,    99.64891666666666  ,   0.1783181656521142
prep_rate          ,   144.42              ,  23.559677808035033
res_reservation_pct,    13.819858095238095 ,   1.5999826756939581
hof_rate           ,     0.5691999999999999,   0.6510570138131031
total_steps        , 30000.0               ,   0.0
total_minutes      ,     5.0               ,   0.0
reward             , 13035.071782344       , 697.9435763788881
