variant,capacity_avg,hof_rate,rlf_rate,ho_rate,pp_rate,reliability_pct,prep_rate,res_reservation_pct,reward
qmode_midpoint,3.5151677083333324,1.9892,0.2582,16.3626,2.0932,95.5276,1028.6299,8.163729365079366,941.5534916765248
qmode_gauss_legendre,3.4969963463333325,2.4172,0.2748,16.1208,2.0576000000000003,95.42249333333334,1020.5815,8.099853174603174,934.7601729676642
qmode_trapezoidal,3.528226414666665,1.8852,0.235,16.7044,2.1558,95.57556666666666,1036.8423,8.228907142857143,943.9580556540212
qmode_cvar_full,3.492369060666666,2.5022,0.2374,18.511,2.0828,95.24211,1075.52364,8.535901904761904,923.964307381838
qmode_cvar_truncated,3.537918463999999,1.808,0.21,19.9256,2.3262,95.43101666666666,1113.4172599999995,8.836644920634921,934.614963778964
