metric,mean,std
ho_rate,11.0,0.0
hof_rate,1.10,0.0
pp_rate,3.45,0.0
capacity_avg,3.75,0.0
rlf_rate,0.068,0.0
reliability_pct,95.0,0.0
prep_rate,25.5296,0.0
res_reservation_pct,6.173603175,0.0
